videoid,comments
7220272453040377134,HARVARD MIGHT CALL🔥🔥🔥🔥
7220272453040377134,Bro got waitlisted for harvard?!
7220272453040377134,HARVARD IS THINKING 🔥🔥🔥
7220272453040377134,BRO CAN ACTUALY GET IN HARVARD🔥🔥🔥🔥🔥
7220272453040377134,HARVARD COULD CALL🫵🫵🔥🔛🔝🔥🔥🔥🔥
7220272453040377134,HARVARD CALLED🗣🗣💯🔥🔥💀 WAIT THEY ACTUALLY DID THIS TIME????!!!🗣💯💯🔥🗣🗣🗣🗣🔥🔥💯💯
7220272453040377134,Wait if u get accepted to Harvard are you still going to pensylvania
7220272453040377134,HARVARD IS KEEPING HIM ON HOLD🔥🔥🔥
7220272453040377134,"greaaat, congrats man"
7220272453040377134,application fees were a down payment on a house
7220272453040377134,HARVARD IS ACTUALLY THINKING GOOD LUCK BRO 🔥🔥🔥
7220272453040377134,48!? insane
7220272453040377134,HARVARD IS WRITING🔥🔥🔥
7220272453040377134,Yall realize applying costs money. He prob spent more than $ 2000 on the applications
7226034572968889642,"no i completely agree..it’s not out of lack of trust, it’s because girls will be GIRLS. & bffr no girl wants there bf going to a party without them"
7226034572968889642,“lItEralLy dOubLe bRuH”
7226034572968889642,"the girls saying ""side eye"" are the same ones that are CRAZY in relationships"
7226034572968889642,u don’t owe anyone an explanation on UR relationship
7226034572968889642,"as you should, you shouldn't have to explain yourself 😭"
7226034572968889642,At the end of the day you don't trust your boyfriend because you think the girls will have enough influence to make him cheat on u
7226034572968889642,this girls my alex earle frfr😭
7226034572968889642,But why was he gunna go without you thooo?
7226034572968889642,"people are getting angry at u for living ur life and without knowing details, don’t let it get to you gorgeous 💗"
7226034572968889642,i don’t think it’s not trusting the girls more like trusting what your bf would do when a girl flirts with him when you’re not there
7226034572968889642,u shouldn’t have to explain yourself :(( people are so dramatic
7226034572968889642,UR FRIENDS????
7226034572968889642,I wish she could say hi to me
7226034572968889642,I feel like we are on ft and I love it
7226034572968889642,"Noo I’m so upset about your account, what was the reason it got banned?"
7226034572968889642,does she reply 🤨
7226034572968889642,Ur soo pretty
7226034572968889642,Babe don’t listen to them there just jealous 🫶🏼🫶🏼🫶🏼
7226034572968889642,double bruh 😭
7226034572968889642,Wasn’t she gonna break up with him
7220085768885128494,i love this 😭
7220085768885128494,U look amazing with abayas mashallah
7220085768885128494,FINISHED FINISHED FINISHED😜😜
7220085768885128494,You are so pretty!!! love your Arabic videos happy Easter and Ramadan to all
7220085768885128494,Cuteeeeee 🫶🏽🫶🏽
7220085768885128494,you guys are SLAYING this
7220085768885128494,Idk but this song was my nightmare it was my biggest fear 💀💔
7220085768885128494,Wowowwwowowow THIS WAS A WHOLE PRODUCTION I MISS YALL FRR
7220085768885128494,Lmao I miss you all 😂❤️
7220085768885128494,Messi or Ronaldo
7220085768885128494,We need a translation asap 😏
7220085768885128494,this was too cute I cant 🥺😂
7220085768885128494,@mai though the one in green was u
7220085768885128494,@Tojis_worm43 ☆ @m.s ✌🏼 ARABS RLLY DO BE MAJESTUC
7220085768885128494,Pizza
7220085768885128494,@Sosooo i love the energy 😍
7220085768885128494,@datgurl yasmin bro you need to do this w ur sis
7220085768885128494,need mlre arab friends immediately
7220085768885128494,@thuhas if we had more friends this would be so fun to do
7220085768885128494,Something ashamed 😂
7225337023929044270,ITS GOING TO CRIMP AT THE RUBBER BAND PARTS
7225337023929044270,i can't even find 1 hair tie in the morning.
7225337023929044270,how many rubber bands are there 😭
7225337023929044270,Remind
7225337023929044270,that’s where all my hair ties went 🤦🏼‍♀️
7225337023929044270,"Remind me I have curly hair, need to see if it works"
7225337023929044270,remind me
7225337023929044270,first
7225337023929044270,Results?
7225337023929044270,someone remind me to come back
7225337023929044270,Remind Me pls
7225337023929044270,I do this all nights for straight my hair ( i'm spanish and y don't talk a lot of english JAJAJA)
7225337023929044270,that’s dedication. my iron would be out within the first 4 ties
7225337023929044270,hoping the algorithm will bring me back for the results 🤞
7225337023929044270,Tag me please
7225337023929044270,results here so i remeber to come back 🥰
7225337023929044270,Remind me
7225337023929044270,I USED TO DO THIS
7225337023929044270,Tag in results
7225337023929044270,results ⬇️⬇️
7213019899545898245,"No matter what, India is not breaking up again. Whoever wants a separate place, may settle in the 2 pieces that were separated in 1947."
7213019899545898245,Unite rather than asking for a separate state.
7213019899545898245,I like Sikhs. I've never met a bad Sikh. Hope everything resolves peacefully.
7213019899545898245,Let’s not do this. Let’s learn to coexist.
7213019899545898245,He isn’t in the run- he has been arrested by the secret security
7213019899545898245,Look at South Sudan the newest country formed. There are curently at war. Just because they get Khalistan doesn't mean issues are over
7213019899545898245,Thank you for this but you’re missing a lot of information.
7213019899545898245,All these people commenting bs here. Try and carry that much ammunition in Canada and watch what the govt/authorities do.
7213019899545898245,i’m sorry but what ab this happening in kashmir no one said anything
7213019899545898245,Interesting how you reinterpreted the 1984 military operation on the Golden Temple called Operation Bluestar as a “massacre inside…the temple.”
7213019899545898245,Thank you 🙏🏻
7213019899545898245,"I mean, im more for togetherness and less for a divide, it just leads to more hatred"
7213019899545898245,"he was making his own army apparently?
no individual in india is allowed to keep so many ammu.
how do they get these ammu??"
7213019899545898245,People around the world still so uneducated on this matter that why we are fighting for our own land. Read history first.
7213019899545898245,how they can suspend twitter accounts ?
7213019899545898245,"Yes, his methods are explicitly shown with all swords openly on roads!"
7213019899545898245,You left out alot of facts !
7213019899545898245,Weapons in India can be carried with a license
7213019899545898245,dialogue the only way to resolve differences
7213019899545898245,Why can’t we all just live in peace
7225379946472951083,Berrylicious is insane 😭
7225379946472951083,Bro just be yapping
7225379946472951083,BRO IS TALKING WILD ABOUT THE HOT DOG😭😭😭
7225379946472951083,My man didnt say pause not once
7225379946472951083,Keith lee colab would be insane
7225379946472951083,Lmfaooo nah “ slaps you across the face ” is insane 😂💀
7225379946472951083,Bro talking crazy abt the hot dog 😭😭
7225379946472951083,"""It's not the size it's what you do with it""....exactly brother."
7225379946472951083,Eating plain hotdogs is crazyyyy
7225379946472951083,America would go to war to get the oil from Costco pizza 😂😂
7225379946472951083,milkylicious is crazy💀
7225379946472951083,“Beefy beefy goodness”
7225379946472951083,Bros a whole dictionary with all that vocabulary 😭
7225379946472951083,Keep going I’m almost finished
7225379946472951083,beefylicious is legendary
7225379946472951083,An ocean of beefy taste😭😭😭💀💀💀
7225379946472951083,Aint no way bro said “slaps you across the face” 😭😭
7225379946472951083,"i spent 3 minutes watching a man reviewing, ice cream, but he used big boy words"
7225379946472951083,Sams club >
7225379946472951083,most valid food reviewer
7218123840143101230,how I wish mum of my future kids to be ....I.a
7218123840143101230,Her voice 🥺masha Allah ❤️
7218123840143101230,May Allah grant me a wife that is hafiz
7218123840143101230,MashAllah she is reciting just like sheikh Rashid Mishari Alfasi !
7218123840143101230,🥰🥰🥰This is what I want my daughter to be inshaAllah …Barakallah manshaAllah may Allah protect you from finta amiin
7218123840143101230,Amazing talent may God accept you🤲
7218123840143101230,mashaa Allahaa so beautiful voice and attractive🥰🥰🥰 may allahaa give me a wife like that
7218123840143101230,I wish to have a “haffiz “ like you as a wife.
7218123840143101230,Masha Allah quran recitation emotional 💘❣❣
7218123840143101230,mashallah may Allah bless you sister 🥰
7218123840143101230,masha allah tabaraka Allah her voice is so amazing🫶🥰
7218123840143101230,🥰
7218123840143101230,mashllh🥰🥰❤️
7218123840143101230,am already in deep love with her 🥰🥰🥰🥰.
7218123840143101230,M.a🥰🥰🥰🥰🥰
7218123840143101230,mashaallah beautiful voice May Allah increase your knowledge
7218123840143101230,"Masha Allah, what surah is this?"
7218123840143101230,hori usoco walshey
7218123840143101230,MashAllah may Allah bless you 🖤
7218123840143101230,masha Allah so beautiful
7225407915044179243,"I don’t think that the US, UK, Russia, China, and France should have so much power in the UN"
7225407915044179243,There’s 6
7225407915044179243,"there's one
oengland in top 🦅🦅😩🗣️🔝🔛"
7225407915044179243,"This is too complicated, let’s just restart for scratch"
7225407915044179243,this is either the worst loop you've ever had... or the best loop you've ever had 😂
7225407915044179243,There’s atleast 7 😎
7225407915044179243,Did I just see a Teen Girl Squad reference?! Excellent.
7225407915044179243,I say 197
7225407915044179243,Northern Cyprus has a different language and religion AND there is a giant physical border so I think it should get recognition
7225407915044179243,There is 195
7225407915044179243,196
7225407915044179243,the only thing that matters is if they count a a country on globle
7225407915044179243,1 or 4 depending on your life.
7225407915044179243,atleast 1
7225407915044179243,197 now right
7225407915044179243,195 now
7225407915044179243,There is at least 211( how many countries have a fifa team
7225407915044179243,south ossetia in triangle looks like candy corn
7225407915044179243,Whatever the USA says 🔥🔥🔥
7225407915044179243,Personally I think there is 197.
7198720064340692267,The fact that you know it 😂😂🥰🥰🥰
7198720064340692267,I've never heard this but I need to learn this as a 37 year old 😂
7198720064340692267,I know I'm not the only one who watched this multiple times to prepare for next time I have to protect my peace
7198720064340692267,I watched this sooo many times. 😂
7198720064340692267,I love it 😂
7198720064340692267,love it 🥰
7198720064340692267,😂😂😂😂
7198720064340692267,Lol Excellent job 😉😂🤣😂🤣😂
7198720064340692267,my movie!
7198720064340692267,I'm still trying to remember your name..
7198720064340692267,Well done🤣🤣
